Partner,Average Viewability %,CTV Quartile %,Fraud %,Pass Rate %,Brand,Partner Group,Investment,Legitimate %
MediaVault Inc,0.82,0.75,0.012,0.95,WealthGuard Pro,Alpha,2500000,0.988
AdStream Global,0.76,0.68,0.018,0.92,TrustFund Plus,Beta,1800000,0.982
ClickForward Media,0.69,0.62,0.025,0.88,SecureInvest,Gamma,1200000,0.975
DataReach Partners,0.91,0.85,0.008,0.97,WealthGuard Pro,Delta,3200000,0.992
ViewMax Solutions,0.73,0.7,0.022,0.91,MoneyWise Elite,Epsilon,950000,0.978
MediaVault Inc,0.84,0.78,0.011,0.94,TrustFund Plus,Alpha,2700000,0.989
PrimeAd Network,0.88,0.82,0.009,0.96,SecureInvest,Zeta,2100000,0.991
TargetScope Media,0.65,0.58,0.032,0.85,WealthGuard Pro,Eta,750000,0.968
AdStream Global,0.78,0.71,0.016,0.93,MoneyWise Elite,Beta,1950000,0.984
BrandLift Digital,0.92,0.88,0.006,0.98,TrustFund Plus,Theta,4100000,0.994
ClickForward Media,0.71,0.65,0.023,0.89,CapitalShield,Gamma,1350000,0.977
ReachWide Advertising,0.86,0.8,0.01,0.95,SecureInvest,Iota,2800000,0.99
DataReach Partners,0.9,0.86,0.007,0.97,MoneyWise Elite,Delta,3400000,0.993
ViewMax Solutions,0.74,0.69,0.021,0.9,WealthGuard Pro,Epsilon,1050000,0.979
MediaHub Pro,0.67,0.61,0.028,0.87,TrustFund Plus,Kappa,850000,0.972
PrimeAd Network,0.89,0.84,0.008,0.96,CapitalShield,Zeta,2300000,0.992
AdVantage Group,0.79,0.73,0.015,0.93,SecureInvest,Lambda,1650000,0.985
TargetScope Media,0.66,0.59,0.031,0.86,MoneyWise Elite,Eta,820000,0.969
BrandLift Digital,0.93,0.89,0.005,0.98,WealthGuard Pro,Theta,4300000,0.995
MediaVault Inc,0.83,0.77,0.01,0.95,CapitalShield,Alpha,2600000,0.99
ClickMatrix Co,0.77,0.72,0.017,0.92,TrustFund Plus,Mu,1450000,0.983
ReachWide Advertising,0.87,0.81,0.009,0.96,MoneyWise Elite,Iota,2900000,0.991
AdStream Global,0.75,0.7,0.019,0.91,CapitalShield,Beta,1750000,0.981
DataReach Partners,0.91,0.87,0.006,0.98,TrustFund Plus,Delta,3500000,0.994
MediaHub Pro,0.68,0.63,0.027,0.88,SecureInvest,Kappa,920000,0.973
ViewMax Solutions,0.72,0.67,0.024,0.89,CapitalShield,Epsilon,980000,0.976
PrimeAd Network,0.9,0.85,0.007,0.97,WealthGuard Pro,Zeta,2450000,0.993
AdVantage Group,0.8,0.74,0.014,0.94,MoneyWise Elite,Lambda,1780000,0.986
ClickMatrix Co,0.76,0.71,0.018,0.92,SecureInvest,Mu,1380000,0.982
BrandLift Digital,0.94,0.9,0.004,0.99,CapitalShield,Theta,4500000,0.996
TargetScope Media,0.64,0.57,0.033,0.84,TrustFund Plus,Eta,710000,0.967
MediaVault Inc,0.85,0.79,0.009,0.96,MoneyWise Elite,Alpha,2800000,0.991
ReachWide Advertising,0.88,0.82,0.008,0.97,CapitalShield,Iota,3100000,0.992
ClickForward Media,0.7,0.64,0.026,0.88,WealthGuard Pro,Gamma,1150000,0.974
AdStream Global,0.77,0.72,0.017,0.92,SecureInvest,Beta,1850000,0.983
DataReach Partners,0.92,0.88,0.005,0.98,CapitalShield,Delta,3700000,0.995
MediaHub Pro,0.69,0.65,0.025,0.89,MoneyWise Elite,Kappa,1000000,0.975
ViewMax Solutions,0.73,0.68,0.022,0.9,TrustFund Plus,Epsilon,1120000,0.978
PrimeAd Network,0.91,0.86,0.006,0.97,SecureInvest,Zeta,2550000,0.994
AdVantage Group,0.81,0.75,0.013,0.94,CapitalShield,Lambda,1900000,0.987
ClickMatrix Co,0.78,0.73,0.016,0.93,WealthGuard Pro,Mu,1580000,0.984
BrandLift Digital,0.95,0.91,0.003,0.99,MoneyWise Elite,Theta,4700000,0.997
MediaVault Inc,0.86,0.8,0.008,0.96,SecureInvest,Alpha,2900000,0.992
TargetScope Media,0.63,0.56,0.035,0.83,CapitalShield,Eta,680000,0.965
ReachWide Advertising,0.89,0.83,0.007,0.97,TrustFund Plus,Iota,3200000,0.993
ClickForward Media,0.72,0.66,0.023,0.9,MoneyWise Elite,Gamma,1280000,0.977
AdStream Global,0.79,0.74,0.015,0.93,WealthGuard Pro,Beta,2000000,0.985
DataReach Partners,0.93,0.89,0.004,0.99,MoneyWise Elite,Delta,3900000,0.996
MediaHub Pro,0.7,0.66,0.024,0.9,CapitalShield,Kappa,1080000,0.976
ViewMax Solutions,0.75,0.7,0.02,0.91,SecureInvest,Epsilon,1200000,0.98
PrimeAd Network,0.92,0.87,0.005,0.98,TrustFund Plus,Zeta,2700000,0.995
AdVantage Group,0.82,0.76,0.012,0.95,WealthGuard Pro,Lambda,2050000,0.988
